Personnage,Réplique
PERCEVAL,Ah bon ?
LÉODAGAN,Comment ça se fait que le Roi est pas là ?
LANCELOT,Je sais pas.
LANCELOT,Je peux pas vous dire.
LANCELOT,J’ai pas regardé.
LÉODAGAN,Ah ouais. C’est pas aujourd’hui qu’il y a la délégation des Druides ?
LANCELOT,Mais ça a rien à voir avec ça ! Je vous dis que j’ai pas regardé !
LANCELOT,C’est vous qui mettez ça sur le tapis !
GUENIÈVRE,C’est moi qui ai demandé.
ARTHUR,Pourquoi ?
GUENIÈVRE,Comme ça.
ARTHUR,Ben non : on est jamais tous les deux puisqu’il y a toujours vos parents !
ARTHUR,Non.
GUENIÈVRE,Mais pourquoi ?
ARTHUR,Alors quoi ? Vous allez juste rester là pendant tout le repas à me regarder avec des yeux de poulet ? Qu’est-ce que j’ai fait encore ?
GUENIÈVRE,Taisez-vous !
GUENIÈVRE,Je voudrais manger avec vous pour vous avoir un peu pour moi toute seule parce que ça me fait plaisir.
ARTHUR,C’est pas notre anniversaire de mariage ou une merde dans le genre ?
KARADOC,Vous pouvez me passer le saucisson aux noisettes ?
KARADOC,Celui qui a des petits morceaux de noisettes dedans.
PERCEVAL,Ah ! (cherchant sur la table) Il ressemble à quoi ?
KARADOC,Il ressemble à un saucisson ! Vous l’avez pris tout à l’heure !
PERCEVAL,Il doit pas être bien loin !
PERCEVAL,Ça va ! On va en recommander un !
KARADOC,Bah évidemment qu’on va en recommander un mais c’est pas la question ! Qu’est-ce que c’est que ce comportement de merde ?
PERCEVAL,Je suis désolé.
ARTHUR,Ça a pas l’air.
ARTHUR,Mmh. (se réveillant) – Heu… non. Qu’est-ce que vous faites ?
PERCEVAL,On cherche des truffes !
KARADOC,On a décidé de mettre un bon coup de collier.
ARTHUR,Le Graal ?
KARADOC,C’est pas ça qu’il faut faire ?
PERCEVAL,À propos de ?
ARTHUR,Du Graal !
PERCEVAL,Ah !
ARTHUR,Mais par rapport à cet endroit-là ?
KARADOC,C’est une initiative !
PERCEVAL,Ben… rien de spécial.
ARTHUR,Rien.
KARADOC,…c’est de creuser.
PERCEVAL,Ah oui.
KARADOC,On est partis sur trois pieds et demi.
PERCEVAL,Trois bons pieds et demi…
ARTHUR,Les méninges.
KARADOC,De quoi ?
KARADOC,Qu’est-ce qui se passe ?
KARADOC,Mais… (désignant la tranchée) Quand même pas pour creuser…
KARADOC,On creuse avec les capes ?
PERCEVAL,On va pas être à l’aise…
KARADOC,On a le droit d’utiliser les pelles ?
PERCEVAL,Ah non ?
PERCEVAL,Ah d’accord.
KARADOC,Motus !
PERCEVAL,C’est un coup à prendre.
KARADOC,Ho ! Qu’est-ce que c’est que ça ?
PERCEVAL,Faites voir…
PERCEVAL,On dirait un os de dinde…
ANGHARAD,Quel truc ? La statue ?
ANGHARAD,Ben… c’est une statue…
ANGHARAD,Vous me posez la question !
ARTHUR,Je vous demande ce que ce machin fout dans ma chambre !
ARTHUR,Mais je vous engueule pas !
ANGHARAD,C’est Madame qui a ramené ça de son voyage à Rome.
ANGHARAD,Elle voulait vous faire la surprise.
ARTHUR,Super. Et elle a trimbalé cet engin depuis Rome jusqu’ici pour me faire une surprise ?
ANGHARAD,Il faut la comprendre. Elle sent que votre couple bat de l’aile… elle a voulu faire un geste.
ARTHUR,Hou là là ! Alors occupez-vous de vos miches et foutez-moi le camp.
GUENIÈVRE,Je m’excuse mais je vois vraiment pas de raison de se fâcher !
GUENIÈVRE,Un disque.
ARTHUR,De quoi ?
ARTHUR,Je vois pas bien ce que ça change !
GUENIÈVRE,Des disques !
ARTHUR,Les types qui lancent des disques ?
GUENIÈVRE,Parfaitement.
GUENIÈVRE,Je ne connais pas le détail.
GUENIÈVRE,C’est toujours vous qui avez le dernier mot !
GUENIÈVRE,Oui et alors ?
ARTHUR,Justement non. C’est parce que je suis Roi que je ne peux pas faire ce que veux. Surtout pas entasser dans mes appartements des machins qui pourraient me faire passer pour une femmelette !
GUENIÈVRE,Il faut plutôt y voir un élan.
ARTHUR,Un élan ?
ARTHUR,Ah oui. Je me disais…
ARTHUR,Super moche.
BOHORT,C’est grec.
BOHORT,Non mais il faut plutôt y voir… un élan.
PERCEVAL,Un élan ?
ARTHUR,Qu’est-ce qui vous prend ? Vous êtes louf !
PERCEVAL,Essayez de pas trop le déconcentrer…
MERLIN,Il faut bien que je le soigne ! Il pisse le sang !
MERLIN,Mais arrêtez de dire des conneries et laissez-moi faire mon travail !
ARTHUR,Non mais ça va bien ? Qu’est-ce qui vous prend ?
ARTHUR,Ça peut pas attendre deux minutes ?
ARTHUR,Lequel ?
ARTHUR,Bon alors quoi ?
ARTHUR,C’est un magicien ! Qu’est-ce que vous voulez qu’il pratique d’autre ?
ARTHUR,Non !
ARTHUR,Parce que j’en ai besoin.
ARTHUR,Non !
ARTHUR,À moins qu’il ne reconnaisse l’existence de votre Dieu unique…
ARTHUR,Eh ben allez-y !
MERLIN,Je reconnais…
MERLIN,…l’existence et la toute-puissance… »
MERLIN,…du Dieu unique.
MERLIN,Et de Jésus Christ.
MERLIN,Notre sauveur.
ARTHUR,Ah ! Mais qu’est-ce que c’est que ça ? Qu’est-ce qui vous arrive ?
ARTHUR,Sauf que vous êtes pas vraiment sûr que ce soit lui…
KARADOC,Ouais… Ça fait combien de temps qu’on a pas eu les félicitations du Roi Arthur ?
GALESSIN,Vous croyez que ces souterrains sont inhabités ?
LÉODAGAN,Il paraît que c’est plein de Gobelins !
ARTHUR,C’est pour ça qu’il me faut deux volontaires.
KARADOC,On vous entend toujours parler de missions…
ARTHUR,Ben… faut voir…
KARADOC,C’est quand même sombre…
PERCEVAL,J’ose même pas imaginer ce que ce serait si les torches tombaient en rideau !
ARTHUR,Vous savez qu’on a trois fois plus de chances de se faire attaquer si vous faites du bruit ?
ARTHUR,Vous préférez ouvrir la marche ?
KARADOC,Pourquoi pas ?
KARADOC,On peut faire un peu chacun son tour ?
PERCEVAL,Qu’est-ce que c’est que ça ?
PERCEVAL,Vous croyez qu’ils accepteraient de venir un par un ?
ARTHUR,Qui a l’arbalète ?
PERCEVAL,Moi.
PERCEVAL,Non mais je me souviens pas l’avoir entendu parler de fuite !
PERCEVAL,C’est pas clair.
PERCEVAL,Bah non.
KARADOC,Et voilà. Mission accomplie.
DAME SÉLI,Qu’est-ce que vous avez ? Ça va pas ?
YGERNE,Ça s’appelle le calme.
DAME SÉLI,On est entre femmes. Vous n’avez pas remarqué que personne ne hurle ou ne casse les verres ?
YGERNE,Il m’a jamais séduite.
DAME SÉLI,Vous connaissez pas l’histoire ?
GUENIÈVRE,Ah non.
GUENIÈVRE,Mais… comment ça « le transformer » ?
DAME SÉLI,Merlin fait boire une mixture à Pendragon et hop ! Il se retrouve avec la tête du mari.
GUENIÈVRE,Ho là là !
GUENIÈVRE,Qu’est-ce que vous faites ?
ARTHUR,Comment ça « qu’est-ce que je fais » ? Je me page !
ARTHUR,De quoi ?
ARTHUR,Mais qu’est-ce que vous me chantez ? Vous avez picolé ou quoi ?
GUENIÈVRE,Prouvez-le !
GUENIÈVRE,Quel âge j’ai ?
GUENIÈVRE,Quel marché ?
ARTHUR,Je me couche mais je vous touche pas. Ça va ?
GUENIÈVRE,Comment ça ?
GUENIÈVRE,J’ai votre parole ?
GUENIÈVRE,Sur la tête du Roi Arthur !
LANCELOT,Je me demandais combien vous prendriez pour une potion de polymorphie…
MERLIN,Une potion de polymorphie ?
LANCELOT,C’est pour séduire une dame.
LANCELOT,En un personnage célèbre !
MERLIN,Ah ouais !
ARTHUR,Ho ! Pourquoi faire ? (réalisant) Qu’est-ce qui se passe ?
GUENIÈVRE,Vous ronflez !
MERLIN,Et ça vous embête.
ARTHUR,Hein ?
MERLIN,Qu’est-ce qu’il y a ?
DEMETRA,Hé !
ARTHUR,Hein ?
DEMETRA,Vous vous endormez.
ARTHUR,Ah ouais.
DEMETRA,Mais pourquoi vous faites ça ?
ARTHUR,Mais si mais je peux pas vous répondre !
DEMETRA,Donc j’ai le droit de vous dire des trucs où il y a pas besoin de répondre.
DEMETRA,Qui c’est qui vous a dit de faire ça ?
ARTHUR,Merlin.
DEMETRA,Vous êtes sûr que vous avez bien compris ce qu’il vous a dit ?
ARTHUR,Je vous ai dit que je pouvais pas parler !
ARTHUR,Qu’est-ce que vous faites ?
DEMETRA,Il paraît que c’est bon pour les cernes.
ARTHUR,Qui c’est qui vous a dit ça ?
DEMETRA,Merlin.
MERLIN,Du tout du tout ?
MERLIN,Vous avez pris des crevettes grises ou roses ?
ARTHUR,Quelles crevettes ? Vous m’avez dit des œufs !
MERLIN,Pour votre ronflement ?
ARTHUR,Oui !
ARTHUR,Vous faites bien de me le dire maintenant !
MERLIN,Juste le ronflement ?
ARTHUR,Mais oui ! Est-ce que j’ai parlé d’autre chose ?
GUENIÈVRE,Je sais pas si les crevettes c’est bien mieux que les ronflements…
GUENIÈVRE,Qu’est-ce que je fais ? J’éteins ?
ARTHUR,Vous faites comme vous voulez.
LÉODAGAN,Non. Des qui ?
DAME SÉLI,Des Chrétiens. Soi-disant que pour fêter saint Jean…
LÉODAGAN,Fêter qui ?
DAME SÉLI,Saint Jean – c’est un évangéliste ou je sais pas quoi – il faut faire des feux.
LÉODAGAN,Des feux ?
DAME SÉLI,Voilà. Des grands feux. Les feux de la Saint-Jean.
YGERNE,Vous n’êtes pas censé recevoir les doléances de votre peuple ?
YGERNE,Vous n’avez jamais le temps de parler !
ARTHUR,Mais parler de quoi ?
YGERNE,Dois-je comprendre que vous déclinez ma requête ?
ARTHUR,Mais c’est pas que je décline…
LÉODAGAN,Disons que c’est pas assez officiel.
YGERNE,Je sens que vous ne m’écoutez que d’une oreille !
ARTHUR,Mais pas du tout !
YGERNE,Si ! Je vous connais quand vous faites cette tête-là !
ARTHUR,Je fais cette tête-là parce que je sais très bien ce que vous allez me demander.
ARTHUR,Mais c’est évident… La fin de l’automne approche – comme par hasard – ça va. Pas besoin de me faire un dessin.
LÉODAGAN,Et alors ?
YGERNE,Je n’ai jamais dit que j’étais venue pour ça !
ARTHUR,Mais si ! Ne me prenez pas pour une truffe ! Vous êtes venue me casser les sabots pour que j’aille à votre saloperie de fête !
YGERNE,Absolument pas !
LÉODAGAN,Et pourquoi vous y allez jamais ? ARTHUR — Parce que ça me gonfle.
YGERNE,Il aime pas sa tante.
LÉODAGAN,Quoi ?
LÉODAGAN,Bon ben… Je suis désolé mais ça à l’air d’être « non ».
YGERNE,Je viens officiellement adresser au Roi Arthur de Bretagne une invitation du peuple de
ARTHUR,J’en ai rien à carrer.
YGERNE,Le peuple de Tintagel est courroucé de ce refus.
ARTHUR,Eh bah tant pis pour sa tronche !
YGERNE,Le peuple de Tintagel exige des excuses immédiates de la part du Souverain breton !
LÉODAGAN,De qui ?
DAME SÉLI,Il faudrait que vous vous déguisiez en saint Nicolas pour distribuer des friandises aux mômes.
LÉODAGAN,Déguisé en qui ?
DAME SÉLI,Saint Nicolas. C’est le patron des Russes.
LÉODAGAN,Non mais ça va pas mieux…
ARTHUR,À Rome.
DEMETRA,Et elle vous manque pas ?
ARTHUR,Non.
ARTHUR,Eh ben ?
ARTHUR,Un Thrace.
GUENIÈVRE,Je suis désolée.
ARTHUR,C’est plutôt une bonne chose à condition de pas le perdre !
BOHORT,C’est affreux ! Un Thrace ! Ces types tuent quinze personnes par mois depuis qu’ils ont dix ans !
LÉODAGAN,C’est sûr que c’est pas des marrants…
ARTHUR,Ah non ! C’est lui qui vient ! Ça va bien maintenant.
VENEC,Mais non ! Il faut profiter de l’occasion pour montrer à votre peuple que vous êtes un dur à cuire et que c’est pas un gladiateur à trois ronds qui va venir vous souffler dans les bronches !
BOHORT,C’est vrai que le peuple sera tellement fier de vous !
ARTHUR,Je suis bien d’accord.
ARTHUR,C’est elle que je devrais envoyer contre le Thrace.
ARTHUR,Je déconne ! Je vais pas le faire !
ARTHUR,Ouais.
GUENIÈVRE,Le public est resté un peu sur sa faim.
ARTHUR,C’est pas grave.
ARTHUR,Thrace.
ARTHUR,Je lui ai dit que vous parliez pas le latin.
GUENIÈVRE,C’est à dire ?
GUENIÈVRE,Je vois. C’est encore sur moi que ça retombe…
GUENIÈVRE,Quoi ? Mais… vous avez accepté ?
ARTHUR,J’ai pas eu le choix…
ARTHUR,Oui.
ARTHUR,Rome.
DEMETRA,Ça vous a fait plaisir de la revoir ?
ARTHUR,Non.
ARTHUR,Quoi donc ?
ARTHUR,Mais arrêtez de gueuler comme un con !
YVAIN,Du chien enragé ?
GAUVAIN,C’est la veine du cou qui est sectionnée…
LANCELOT,La carotide.
ARTHUR,Dépêchez-vous !
ARTHUR,Qui êtes-vous ? Qu’est-ce que vous foutez là ?
MERLIN,C’est la Fée Morgane !
ARTHUR,Mais… De quoi « dépêchez-vous » ?
ARTHUR,Mais c’est pas le jour de ma mort !
ARTHUR,Mais je suis juste blessé au cou !
ARTHUR,Mais je me fais soigner !
ARTHUR,Je suis désolé mais j’ai l’impression que ça va mieux…
ARTHUR,Puisque je vous dis que ça va mieux !
ARTHUR,Eh ben revenez dans trois jours.
MERLIN,J’adore la châtaigne. Je pourrais m’en faire sauter le bide. Vous en voulez ?
BOHORT,Le Dragon des Tunnels ?
ARTHUR,Un truc qui me chiffonne.
BOHORT,Moi aussi… Je me sens pas dans mon assiette. J’ai jamais bien aimé les tunnels.
ARTHUR,Je crois pas qu’on soit au bon endroit.
PERCEVAL,On a trouvé l’entrée du souterrain pile à l’endroit prévu !
LANCELOT,Ça peut pas être ailleurs !
ARTHUR,Vous avez vu la taille des tunnels ? Vous allez pas me dire qu’il y a un Dragon qui se balade là-dedans !
PERCEVAL,C’est un Dragon qui doit avoir le coup pour se faufiler.
LANCELOT,Il est dehors !
LANCELOT,Non mais ça sent le soufre. Il doit pas être loin.
LANCELOT,Trois cents livres.
PERCEVAL,Bah… C’était pour dire quelque chose…
ARTHUR,Mais… Qu’est-ce que vous avez foutu de Bohort ?
LANCELOT,J’en sais rien !
PERCEVAL,Il me filait le train dans le tunnel !
ARTHUR,Quoi ?
PERCEVAL,On n’a pas de quoi enflammer ?
LANCELOT,Non. Et descendre un Dragon avec des flèches nues…
ARTHUR,Il y a intérêt qu’il soit pas trop gros.
PERCEVAL,Il est là !
ARTHUR,La vache ! Vous avez vu la taille du truc ?
ARTHUR,Il doit bien en faire quatre mille.
ARTHUR,Merde ! On a fait trente lieues jusqu’ici pour dégommer le Dragon des Tunnels !
ARTHUR,Bon.
ARTHUR,Il attaque !
ARTHUR,Ça va ? Vous êtes pas tombé sur le Dragon des Tunnels ?
LANCELOT,C’est pas celui-là.
BOHORT,Pas celui-là ? Mais pourquoi ?
LANCELOT,Trop gros.
PERCEVAL,Entre trois cents et quatre mille livres !
BOHORT,Vous voulez dire que je suis resté seul ici alors que le vrai Dragon des Tunnels y est peut-être aussi ?
ARTHUR,C’est pour ça que je vous demande si vous êtes pas tombé dessus !
ARTHUR,Eh ben ?
BOHORT,Seigneur Léodagan ?
BOHORT,J’espère qu’on vous verra aux festivités !
GUENIÈVRE,L’essence de rose ne vous dérange pas ?
ARTHUR,« Ça s’est bien passé…» C’est à dire ?
GUENIÈVRE,Ça a pas été trop dur ?
GUENIÈVRE,Vous avez dû avoir sacrément froid !
ARTHUR,Ouais…
GUENIÈVRE,Vous avez pas envie de parler…
ARTHUR,C’est pas que j’ai pas envie de parler…
GUENIÈVRE,C’est votre blessure qui vous fait encore souffrir ?
GUENIÈVRE,Je croyais bien faire…
ARTHUR,Eh ben ?
GUENIÈVRE,C’est quand même curieux que vous ayez pas envie.
GUENIÈVRE,C’est sûr que je suis pas aussi bien mise qu’Anna…
ARTHUR,Oui…
GUENIÈVRE,Et que vous me trouvez bien…
ARTHUR,Oui…
GUENIÈVRE,Il y a quelque chose qui va pas ?
LÉODAGAN,Une escorte ? Et puis quoi encore ?
LÉODAGAN,Eh ben allez-y ! Qu’est-ce que vous risquez ?
LÉODAGAN,Je m’approcherais pas autant.
GALESSIN,Il paraît qu’il est arrivé au campement de Léodagan en milieu d’après-midi.
KARADOC,C’est vrai qu’il l’apprécie pas beaucoup.
ARTHUR,Ah bon ? Et pourquoi ça ?
CALOGRENANT,Question de point de vue.
LÉODAGAN,Vous êtes marié comme moi ; vous savez que la monstruosité peut prendre des formes très diverses.;
BOHORT,C’est pas faux…
ARTHUR,Léodagan ? Mais qu’est-ce que vous faites là ?
KARADOC,Tout seul ? En pleine nuit ?
LÉODAGAN,Ça me fait pas peur.
BOHORT,Je reviens demain matin.
LÉODAGAN,Je sais bien.
BOHORT,Faudrait faire des petits échantillons à comparer à la lumière. Peut-être une simple lasure…
LÉODAGAN,Ah ouais…
KARADOC,Ouais pareil.
KARADOC,Qu’est-ce qui se passe ? Vous avez pas l’air dans votre assiette…
KARADOC,Qu’est-ce qu’il vous a dit ?
PERCEVAL,Ben c’est depuis cette histoire comme quoi le Roi veut me nommer responsable de la sécurité des postes frontières.
KARADOC,Eh ben ?
PERCEVAL,Des… ?
KARADOC,Des quolibets ! Il y a trop de gens à Kaamelott qui oublient que vous êtes un vrai Chevalier.
PERCEVAL,Ça c’est sûr.
KARADOC,Moi je crois que vous devriez aller voir le Roi et lui dire qu’il faudrait qu’on commence à vous considérer en tant que tel.
PERCEVAL,Ah bon ?
ARTHUR,Comment ?
PERCEVAL,Comment « comment ? »
ARTHUR,Vous considérer comme… ? J’ai pas compris.
PERCEVAL,Ben… me considérer en tant que tel.
ARTHUR,En tant que tel quoi ?
PERCEVAL,Je vous disais que j’étais victime des colifichets et qu’il faudrait qu’on commence à me considérer en tant que tel.
PERCEVAL,Quelqu’un qui dit du mal d’une personne.
PERCEVAL,Comment on dit alors ?
PERCEVAL,Une personne qui dit du mal d’une personne qui commence par « coli…»
PERCEVAL,Non mais je me goure de mot. C’est pas « colibri » ?
ARTHUR,Qu’est-ce qui est pas « colibri » ?
PERCEVAL,Un type qui dit du mal d’un autre…
ARTHUR,Mais personne dit ça…
ARTHUR,Jamais de la vie.
ARTHUR,Une tête de linotte.
ARTHUR,Un oiseau.
PERCEVAL,Et bah qu’est-ce que je disais ?
ARTHUR,Mmh.
ARTHUR,Bon ben… je vais voir ce que je peux faire.
ARTHUR,Ça va ?
ARTHUR,C’est pas tellement ça mais je cherche ce que je vous ai fait.
GUENIÈVRE,Vous avez rien fait.
ARTHUR,Alors quoi ?
GUENIÈVRE,Sûrement pas…
GUENIÈVRE,Vous vous souvenez de cette chose délicieuse que j’avais ramenée de mon voyage à Rome et qui s’appelle « la pâte d’amande » ?
GUENIÈVRE,Excellent.
ARTHUR,Quel rapport avec le fait que vous êtes chiante ?
ARTHUR,Je comprends pas… Vous me dites que vous en aviez ramené combien ?
GUENIÈVRE,Oh pas énorme…
ARTHUR,Oui mais « pas énorme » combien ?
GUENIÈVRE,Je ne sais plus ! Quatre ou cinq livres…
ARTHUR,Quatre ou cinq livres !
ARTHUR,Offert à qui ?
GUENIÈVRE,À… Ben à vous !
ARTHUR,Ah non ! Vous m’avez jamais offert de pâte d’amande !
GUENIÈVRE,Bon ben j’en ai pas offert ! Qu’est-ce que ça change ?
ARTHUR,Je crois pas que vous soyez le symbole de la Nation bretonne…
ARTHUR,Bohort !
BOHORT,Oui Sire ?
ARTHUR,Vous en avez ramené ?
BOHORT,Non.
ARTHUR,Vous en avez ramené ?
ARTHUR,Donnez-le moi.
ARTHUR,Je vous mets un pain.
ARTHUR,Ah bon… Mais…
ARTHUR,Non mais c’est parce que je m’étais débrouillé… (ouvrant le linge) Je vous ai trouvé un petit cochon…
GUENIÈVRE,En pâte d’amande ?
ARTHUR,Ben ouais…
ARTHUR,Alors ? Vous l’avez vu ?
PERCEVAL,On dirait qu’il se rapproche…
PERCEVAL,C’est difficile de jauger. On l’entend mais on le voit jamais !
GAUVAIN,Tout ceci ne me dit rien qui vaille…
GAUVAIN,Encore nous ?
PERCEVAL,Comment ça ?
PERCEVAL,Ben… c’est pas que j’y tiens pas…
ARTHUR,Vous voulez y aller ?
PERCEVAL,Ah non.
ARTHUR,Alors ? Vous le voyez ou pas ?
YVAIN,Rien du tout !
PERCEVAL,Et est-ce que vous l’entendez ?
GAUVAIN,On l’entend comme vous !
ARTHUR,Bah voilà.
ARTHUR,De quoi ?
ARTHUR,Équidistants ?
PERCEVAL,Quoi ? Ça veut pas dire ça ?
ARTHUR,Par rapport à qui ?
PERCEVAL,À eux !
ARTHUR,À eux et quoi ? Ça suffit pas ! Avec le Dragon ?
PERCEVAL,Est-ce que vous entendez le Dragon exactement au même volume que nous ?
GAUVAIN,Exactement au même volume ?
PERCEVAL,Décrivez-nous précisément la nature du terrain !
ARTHUR,Non mais arrêtez ! On n’en a rien à foutre !
ARTHUR,Vous arrêtez de leur demander des trucs à la con ! Vous la fermez !
GAUVAIN,Mon oncle ! Mon oncle ! Le Dragon !
YVAIN,Il est juste au-dessus de nous !
GAUVAIN,Vite !
YVAIN,Vite !
ARTHUR,« Vite » ? Quoi « vite » ?
PERCEVAL,Il faut attendre qu’il atterrisse et l’attaquer direct à l’épée.
GAUVAIN,Aaah ! Au secours !
YVAIN,À l’aide !
GAUVAIN,Mon oncle ! Mon oncle !
PERCEVAL,Qu’est-ce qui se passe ?
ARTHUR,Revenez ! Revenez !
PERCEVAL,Dépêchez-vous !
YVAIN,Il nous a chié dessus.
PERCEVAL,Non mais faut pas vous faire de souci. Ça peut arriver à tout le monde.
GAUVAIN,Je crains d’avoir profondément déçu mon oncle.
